,Y
Trametinib_SW982,-0.120307
Leflunomide_COR-L23,5.066531
Taselisib_RKO,1.565267
Docetaxel_OVMIU,-3.926641
LJI308_NCI-H2595,6.682664
Afuresertib_NCI-H810,4.004883
Oxaliplatin_NCI-H211,2.854466
MN-64_JHH-2,5.635729
ABT737_SNU-61,4.204119
PRIMA-1MET_PA-1,1.610874
Pictilisib_A4-Fuk,-1.040922
GSK1904529A_SK-GT-2,4.512474
Daporinad_VM-CUB-1,-6.068411
Afatinib_HT-1080,3.691317
Afatinib_NCI-H2228,2.831975
MK-2206_VA-ES-BJ,3.079773
EPZ004777_NKM-1,4.33025
Sepantronium bromide_NCI-H1581,-6.069958
Cytarabine_TC-YIK,-0.420806
Wnt-C59_CS1,4.051306
Pyridostatin_OAW-42,5.754419
OF-1_NEC8,4.110515
Dinaciclib_SCC-3,-4.100986
GDC0810_SW872,4.845685
AMG-319_Mo-T,3.994489
NVP-ADW742_NCI-H1876,1.657425
5-Fluorouracil_LK-2,5.296929
Tamoxifen_NCI-H1838,7.018538
MK-2206_TUR,1.800007
Sabutoclax_ES7,-2.599152
ML323_MIA-PaCa-2,4.843727
SCH772984_Caov-4,-0.582542
AZD6738_KLE,3.270654
LY2109761_EoL-1-cell,3.208766
Paclitaxel_RF-48,-4.313648
PD0325901_RERF-LC-KJ,2.167535
Tamoxifen_EBC-1,3.594035
MIRA-1_NCI-H82,3.976433
WEHI-539_SNU-61,6.009457
VE821_BE-13,1.826742
GSK1904529A_Daudi,4.48805
Cyclophosphamide_HCC1954,5.1179
Wee1 Inhibitor_CAL-85-1,2.374567
MIRA-1_SCC-15,6.059678
Linsitinib_MDA-MB-453,3.313308
Obatoclax Mesylate_NCI-H446,0.520242
WEHI-539_OACp4C,3.090815
GSK2578215A_SK-MES-1,4.888243
Cediranib_U251,2.380406
Telomerase Inhibitor IX_NCI-H2461,2.395791
MK-1775_SW1573,1.721826
Alisertib_Calu-6,1.98048
Bortezomib_NB12,-4.198434
KRAS (G12C) Inhibitor-12_H4,4.580121
Ruxolitinib_HuP-T4,4.443994
Uprosertib_MDA-MB-453,-0.461584
AMG-319_ESO51,4.387467
Dinaciclib_GDM-1,-4.04054
Entospletinib_Mo-T,5.345354
YK-4-279_MFE-280,4.421013
Crizotinib_697,-0.258315
Niraparib_HuO9,3.897891
Epirubicin_CAL-27,-1.716992
ABT737_MOLT-4,-0.938585
Sapitinib_COLO-684,5.436945
Irinotecan_KMOE-2,2.091954
Crizotinib_MIA-PaCa-2,3.910367
Nutlin-3a (-)_HTC-C3,5.692979
SCH772984_SK-GT-2,2.187281
AZD6738_SW982,1.215884
NVP-ADW742_RPMI-6666,1.945658
Wnt-C59_SK-PN-DW,3.459646
GSK1904529A_NCI-H1993,5.179466
Gefitinib_RERF-LC-KJ,1.907038
PD173074_CAL-51,3.702337
MK-1775_EFO-21,1.476891
5-Fluorouracil_SK-MEL-1,6.778646
MK-8776_NCI-H1568,2.751629
Osimertinib_HOP-92,3.393411
AZD3759_COR-L95,3.243842
PFI3_MM1S,4.330027
GNE-317_KYSE-220,0.714389
PLX-4720_NCI-H2373,5.303105
SCH772984_HC-1,3.498231
Entinostat_OCUM-1,2.699538
Bortezomib_MKN45,-4.74024
AZD3759_G-402,3.465346
Alpelisib_5637,3.595567
Temozolomide_JHH-7,7.043709
WIKI4_OVISE,3.283678
Dinaciclib_NCI-H929,-4.211164
Wee1 Inhibitor_TOV-21G,1.290273
Tamoxifen_MDA-MB-415,3.574896
Uprosertib_MOG-G-UVW,1.637747
Niraparib_NCI-H3122,4.703794
Savolitinib_MOLM-13,0.612614
I-BRD9_KURAMOCHI,5.772672
PCI-34051_KARPAS-231,3.720599
SCH772984_HuP-T4,3.533441
I-BET-762_NAMALWA,-1.121896
Nilotinib_D-263MG,4.435875
MK-1775_JURL-MK1,-1.869892
NVP-ADW742_DOV13,2.529188
VX-11e_PFSK-1,2.734057
Daporinad_VCaP,-2.088495
Nutlin-3a (-)_SNU-387,5.635201
VE821_KP-3,5.379661
AZ960_MLMA,1.675853
GSK2606414_SUP-B15,3.053013
Daporinad_SK-UT-1,-5.904853
PD0325901_8-MG-BA,0.032518
Obatoclax Mesylate_JVM-3,0.399439
Gefitinib_SK-HEP-1,3.612765
Ibrutinib_SAT,0.520178
Alpelisib_OSC-20,4.648967
PFI3_H9,4.146526
MN-64_NCI-H1581,3.491857
MN-64_8-MG-BA,4.094175
AZD7762_647-V,-0.092236
OF-1_HA7-RCC,4.663862
Navitoclax_SK-HEP-1,1.325067
GSK343_SU8686,5.304299
Bortezomib_RERF-LC-Sq1,-4.535181
AZD6738_HH,5.58786
LY2109761_LU-65,5.990279
BIBR-1532_DU-4475,3.518858
Alpelisib_KYSE-520,3.90585
LGK974_EoL-1-cell,0.041485
I-BET-762_AsPC-1,6.635211
LCL161_SNU-C1,4.975062
Cediranib_ESO51,2.549052
OTX015_KYSE-140,0.16379
Uprosertib_DSH1,1.271375
PRT062607_RPMI-6666,0.536438
Sabutoclax_SNU-423,-0.208426
IWP-2_NCI-H1092,3.749747
CZC24832_HT-144,4.362781
Taselisib_L-540,3.229762
AGI-6780_HT-1197,5.429678
MG-132_RH-1,-1.919291
Savolitinib_EFM-19,3.584321
VE821_J82,6.649155
Uprosertib_KURAMOCHI,3.481366
Oxaliplatin_HL-60,1.558634
PLX-4720_CHSA8926,2.843243
GSK591_ES1,3.30855
Sorafenib_Mo-T,2.126026
IWP-2_MG-63,3.363626
VE821_HO-1-N-1,3.67574
Telomerase Inhibitor IX_NCI-H28,3.371152
Linsitinib_SHP-77,3.324644
Oxaliplatin_RT-112,4.786089
MK-8776_NB10,2.506595
PFI3_SNG-M,4.719784
I-BRD9_OVCAR-5,6.480843
AZD8055_OCUB-M,-2.866176
Fulvestrant_NCI-H28,4.358273
GSK2606414_NCI-H2228,3.867352
Irinotecan_MV-4-11,-1.10639
Erlotinib_RT-112,1.766525
Daporinad_SK-OV-3,-4.159856
KU-55933_MDA-MB-157,6.339818
Daporinad_MDA-MB-453,-5.358469
GNE-317_BB49-HNC,-1.366234
AZD7762_DEL,-2.862395
Dinaciclib_ESO51,-2.295476
Daporinad_EB2,-6.239794
PRT062607_RKN,5.127769
Savolitinib_COLO-678,4.741361
PLX-4720_PSN1,4.627164
LY2109761_Farage,4.709684
5-Fluorouracil_OC-314,3.188337
Uprosertib_PC-3_[JPC-3],6.273966
ABT737_KARPAS-45,-0.519225
AZD3759_CL-40,3.458363
Pevonedistat_HuP-T3,0.047311
Vinblastine_LXF-289,-3.27512
WZ4003_HGC-27,4.489663
VE821_NCI-H2228,6.564464
Navitoclax_TE-6,5.267077
PRIMA-1MET_NOMO-1,3.803006
Olaparib_A2780,2.648763
OTX015_ST486,-1.364334
Cytarabine_GI-ME-N,1.254711
Vorinostat_BB49-HNC,1.54426
AZD8186_Raji,2.812094
PFI3_TT2609-C02,7.491571
Gemcitabine_COR-L311,-2.065298
VX-11e_HAL-01,1.981067
PRT062607_KP-2,4.51821
GSK2606414_NCI-H522,3.624752
Cediranib_Saos-2,4.573551
SB505124_CCK-81,2.768774
GDC0810_LOU-NH91,6.095298
Uprosertib_TE-4,2.601135
Obatoclax Mesylate_U-266,3.252087
Cyclophosphamide_MFE-296,6.171092
GSK2606414_NCI-H1417,2.637477
BIBR-1532_Ca-Ski,4.282172
Osimertinib_AM-38,2.142976
I-BET-762_SU-DHL-6,0.93368
Doramapimod_UACC-893,4.240949
Alisertib_TE-1,3.536608
CZC24832_NAMALWA,2.627844
OTX015_MCF7,1.945158
OTX015_HDQ-P1,3.870823
Trametinib_CHP-212,-6.41257
Niraparib_CADO-ES1,1.815947
BIBR-1532_TGBC11TKB,4.880113
WIKI4_CAL-120,5.164104
Picolinici-acid_NCI-H1915,5.839808
Paclitaxel_HCC1500,-0.562589
Epirubicin_GP5d,-1.948326
I-BET-762_Hs-445,4.660405
Pevonedistat_NCI-H2052,1.875052
ABT737_KMOE-2,0.088735
Irinotecan_TE-6,4.578655
Palbociclib_COR-L279,3.987918
GDC0810_KARPAS-1106P,4.057096
MN-64_EW-3,5.096322
Tamoxifen_KOPN-8,2.693436
AZD8055_CL-40,1.371084
VE821_JiyoyeP-2003,2.996131
Irinotecan_EW-24,0.442313
AZD4547_ETK-1,3.892103
Foretinib_COLO-824,-0.124995
AZD6738_RO82-W-1,5.791412
Telomerase Inhibitor IX_BxPC-3,2.215201
Irinotecan_COLO-678,8.214983
Pevonedistat_Jurkat,-1.208675
MIRA-1_KM-H2,5.011433
MK-8776_EN,2.848486
AZD8186_L-1236,2.059269
GSK343_MDA-MB-453,2.679466
YK-4-279_HCC2998,0.533829
Cisplatin_U251,3.37827
VX-11e_MOLT-4,2.843385
GSK343_NCI-H2731,3.458677
Entinostat_NCI-H2141,2.521836
GNE-317_HSC-4,1.365812
AZD4547_ES-2,2.670676
VE821_RMG-I,6.50875
MN-64_SW872,4.810576
Pictilisib_DK-MG,2.21681
Leflunomide_BICR10,6.242473
AZD5582_HOP-92,3.88022
AMG-319_769-P,4.611823
CZC24832_NCI-H2405,6.696034
UMI-77_HT-29,3.379557
Dactolisib_U-698-M,-3.761863
Cediranib_ARH-77,1.778938
Gemcitabine_NCI-H2347,4.965755
PFI3_NCI-H2405,8.379087
PFI3_RKO,4.553154
ML323_GI-1,5.689067
Bortezomib_PC-14,-4.43761
GSK343_JHH-2,3.488608
YK-4-279_SW1088,1.439948
Palbociclib_EB-3,3.063085
I-BRD9_G-401,3.724563
Pyridostatin_HuO9,2.576673
NVP-ADW742_GAK,1.91072
AGI-6780_KP-1N,5.32602
Oxaliplatin_MFE-280,5.659536
MG-132_KARPAS-620,-1.88282
GNE-317_CA46,0.248728
OF-1_CHL-1,2.846449
GSK1904529A_NCI-H2227,5.754623
Cyclophosphamide_TE-9,4.640843
PLX-4720_EPLC-272H,4.250016
PF-4708671_EVSA-T,3.269373
P22077_SK-N-FI,5.369708
Lapatinib_H-EMC-SS,4.290911
MK-8776_NCI-H2591,6.664648
Dinaciclib_ARH-77,-3.392141
Paclitaxel_HSC-2,-5.107544
LY2109761_HOP-62,4.171871
Docetaxel_Ca9-22,-5.817019
AGI-6780_COLO-829,7.073447
Cytarabine_GP5d,-1.220558
Entinostat_CAL-62,3.795533
Leflunomide_NCI-H661,6.041106
Dasatinib_M14,4.314729
Alpelisib_TE-6,1.65978
Vinorelbine_MN-60,-1.008587
Afuresertib_SKN,2.239681
AZD5582_EW-7,1.385723
Temozolomide_NUGC-4,7.486821
Palbociclib_NCI-H2595,6.464842
Alpelisib_OVCAR-3,4.864824
I-BRD9_RD,5.040591
Dasatinib_HCC1954,2.577177
Savolitinib_KARPAS-422,2.59989
GSK2578215A_NCI-H1688,4.934582
VE821_SK-LMS-1,5.266417
EPZ004777_SNU-423,5.529321
Sepantronium bromide_OVCAR-8,-4.761108
AGI-5198_NB(TU)1-10,4.175205
Alpelisib_OE19,2.786776
AGI-5198_IA-LM,5.30473
MG-132_SUP-B15,-2.161022
MN-64_UACC-257,6.130314
Trametinib_NCI-H1648,-1.805334
Epirubicin_SNU-449,3.080384
Gefitinib_SNU-398,3.991028
Erlotinib_COLO-829,3.75616
Nilotinib_SW982,3.764047
AZD7762_HCT-15,0.198563
GSK343_SNU-387,3.087678
MK-2206_JIMT-1,3.855948
WZ4003_JIMT-1,3.68899
Navitoclax_A4-Fuk,2.241072
Afatinib_ES5,1.320712
AMG-319_OE33,4.458796
Afatinib_SW1088,2.754949
Camptothecin_EB-3,-2.658751
AZD5582_ES-2,2.466269
AZD4547_COR-L105,4.991905
Niraparib_COLO-824,5.458886
Sapitinib_MIA-PaCa-2,3.385103
AZD8186_D-392MG,3.199116
Dactolisib_AsPC-1,-0.773718
LJI308_FADU,5.496758
AGI-5198_NCI-H1651,3.926285
ML323_NCI-H2818,6.482667
Ibrutinib_NAMALWA,1.941127
IWP-2_RH-41,2.365007
PCI-34051_TE-8,4.996646
5-Fluorouracil_DOK,5.663023
VX-11e_SW1088,3.445837
IWP-2_NCI-H1693,4.597284
I-BET-762_HCC1569,1.862369
Telomerase Inhibitor IX_HT-1197,2.943348
Daporinad_SUP-T1,-6.452635
Gefitinib_PA-TU-8902,4.450928
Venetoclax_WM1552C,2.226452
SCH772984_SK-MES-1,2.169388
Cyclophosphamide_ME-180,5.062917
PRIMA-1MET_OE33,5.195781
Epirubicin_KM-H2,-2.650512
Entinostat_EB2,1.314175
KRAS (G12C) Inhibitor-12_FADU,3.260163
Fulvestrant_A3-KAW,1.744695
Lapatinib_PA-TU-8902,5.982081
UMI-77_SW48,2.041941
MG-132_SK-CO-1,-2.140791
JQ1_HCC70,2.927976
MK-8776_NCI-H2452,1.678362
Tamoxifen_JJN-3,2.489371
MK-8776_LU-65,2.698302
5-Fluorouracil_DU-145,6.143014
PRIMA-1MET_HOS,2.984592
OTX015_PC-3,4.855268
BMS-345541_T98G,4.043691
Afuresertib_RS4-11,1.54823
AZD4547_RS4-11,0.290344
PD0325901_NCI-H2342,1.99021
Ruxolitinib_NCI-H2595,5.663429
MK-8776_A253,4.022794
AZD6738_BFTC-909,0.210262
MN-64_KURAMOCHI,6.856078
LY2109761_SNU-175,4.336333
OF-1_KOPN-8,3.92185
Vinblastine_HEC-1,-0.070661
BIBR-1532_IM-95,4.0122
Picolinici-acid_CL-40,5.181844
Epirubicin_PL4,-1.567904
ABT737_EPLC-272H,2.631279
KRAS (G12C) Inhibitor-12_OAW-28,6.73401
P22077_VA-ES-BJ,6.086528
Navitoclax_SiHa,3.396094
Ibrutinib_NCI-H209,4.912235
Sorafenib_RKO,2.071821
Alisertib_SU-DHL-8,1.040053
GSK591_KALS-1,4.145377
KU-55933_DU-4475,3.143339
AZD5582_EW-22,1.66351
Afatinib_HT-1376,3.854296
Gemcitabine_ESO26,-2.227963
MG-132_ECC10,-2.132494
Vorinostat_COLO-205,0.63773
PCI-34051_SU-DHL-5,0.819122
Lapatinib_REH,2.691211
Ruxolitinib_IST-MES1,3.688224
IWP-2_LU-139,2.935784
Oxaliplatin_SK-GT-4,5.525601
AZD8186_SCC90,4.629679
LJI308_NCI-H716,5.265322
Fulvestrant_U-2-OS,3.300078
Gefitinib_TE-5,3.997898
Leflunomide_HSC-4,4.275435
GSK591_GAK,4.495628
Venetoclax_OVCAR-8,2.687424
PD0325901_OSC-20,2.014603
AMG-319_RCM-1,6.712414
Wee1 Inhibitor_KARPAS-299,-0.097752
AZD3759_GRANTA-519,3.582009
Tamoxifen_EVSA-T,2.143162
Sapitinib_ESO51,5.520297
Venetoclax_SF268,2.908036
Vorinostat_COLO-829,2.071619
Uprosertib_CAL-51,2.675978
Sabutoclax_RPMI-7951,-0.786104
Tamoxifen_OV-56,4.590906
Dasatinib_HT55,3.146584
PD173074_NCI-H3118,3.007599
Olaparib_VAL,2.799481
GSK591_RPMI-8402,2.71277
Paclitaxel_KE-37,-4.80957
Sabutoclax_RL95-2,-2.215826
Crizotinib_NCI-H2405,6.636625
AZD6738_GI-ME-N,3.269802
AZD5582_SBC-3,1.52396
GDC0810_BICR78,5.395182
5-Fluorouracil_SF268,6.576672
AGI-6780_LoVo,3.097836
OF-1_KARPAS-422,3.567664
Navitoclax_PANC-04-03,8.159422
Vinblastine_NCI-H441,1.966532
Savolitinib_SCC-3,1.780426
ML323_NCI-H1417,4.431177
MK-1775_OC-314,-0.192633
EPZ004777_LOU-NH91,5.47834
MK-1775_MKN45,-0.457012
Erlotinib_HCC2157,2.579809
Pyridostatin_COR-L311,2.269589
Sepantronium bromide_U-698-M,-6.115417
Irinotecan_RC-K8,1.878753
GSK591_KMOE-2,4.846822
PD173074_PANC-03-27,5.271648
Vinorelbine_Ca9-22,-4.302132
AZD4547_DU-4475,0.368651
Tamoxifen_MOG-G-UVW,3.609878
Temozolomide_VMRC-LCD,7.450871
Wee1 Inhibitor_SW1116,3.695992
Oxaliplatin_DG-75,2.415595
Olaparib_NTERA-2-cl-D1,2.04058
MK-1775_OVKATE,3.468912
WZ4003_B-CPAP,3.193261
MG-132_MONO-MAC-6,-2.336051
AZD3759_COLO-679,2.396527
Osimertinib_TUR,0.415839
SCH772984_MRK-nu-1,3.129589
UMI-77_8-MG-BA,2.38594
Wee1 Inhibitor_CL-11,3.456486
EPZ5676_MKN45,5.400886
Pictilisib_NCI-H1838,3.104593
Wee1 Inhibitor_HCC70,3.092422
Obatoclax Mesylate_MLMA,1.072937
Irinotecan_A375,0.640628
VX-11e_ME-1,2.751864
Obatoclax Mesylate_FADU,0.872268
Erlotinib_KP-4,3.655276
Ipatasertib_KYSE-150,2.41498
AGI-5198_KARPAS-299,1.936317
WEHI-539_NCI-H1648,-0.071573
EPZ5676_CAL-29,5.80165
Venetoclax_BALL-1,-5.2233
Foretinib_PANC-10-05,1.545101
Dasatinib_MM1S,2.77432
Entinostat_RXF393,3.848836
Docetaxel_KARPAS-620,-5.525212
Ruxolitinib_SUP-B15,4.533441
EPZ5676_NCI-H441,8.983259
PRT062607_WM793B,3.670387
Wnt-C59_CAL-62,3.888086
Gemcitabine_NCI-H1341,-1.481899
NVP-ADW742_A2058,1.802498
Olaparib_CPC-N,3.423634
Fulvestrant_SNU-398,2.967215
AMG-319_GAMG,4.75111
Afatinib_NCI-H2869,4.327257
WEHI-539_KINGS-1,3.678996
Temozolomide_KINGS-1,7.431774
Wee1 Inhibitor_HT-1080,2.12161
Venetoclax_NB1,1.248494
MG-132_MV-4-11,-2.510018
AZD6738_Ca-Ski,1.646705
LJI308_HCC1428,7.328274
Ruxolitinib_ESS-1,3.815357
MN-64_NCI-H1993,5.439215
Irinotecan_NEC8,0.794332
OTX015_BE-13,1.698576
KRAS (G12C) Inhibitor-12_NCI-H1299,3.24738
WZ4003_OCI-AML2,2.433921
AGI-5198_WSU-DLCL2,3.21679
Docetaxel_KALS-1,-3.798204
Vorinostat_L-363,0.474105
Nilotinib_NCI-H23,4.0362
VE821_L-428,3.477608
Afatinib_IST-SL2,0.411454
Crizotinib_CP66-MEL,5.006682
Alpelisib_HSC-39,0.632655
Olaparib_TE-4,3.905388
AGI-5198_HO-1-u-1,3.121441
Temozolomide_EFM-192A,7.08225
Cyclophosphamide_JHH-2,5.431829
Venetoclax_SNU-407,2.069628
LY2109761_ES4,6.065069
5-Fluorouracil_SUP-B15,2.205286
Dabrafenib_MONO-MAC-6,1.619209
Foretinib_LC4-1,-0.176509
Alisertib_MG-63,0.003794
Dactolisib_HD-MY-Z,-0.420233
Taselisib_RD,0.542573
VE-822_LU-135,3.678563
NVP-ADW742_NCI-H841,4.770716
Tamoxifen_CAL-78,5.212718
Irinotecan_ST486,1.069859
WIKI4_ESS-1,3.517152
Dinaciclib_NB13,-3.7161
Vorinostat_CESS,0.277405
Pictilisib_MDA-MB-436,1.936899
GNE-317_NB10,-0.515459
I-BRD9_J82,6.389522
AZD4547_HDQ-P1,2.877698
LGK974_Daudi,3.526939
Cyclophosphamide_LCLC-97TM1,5.402218
EPZ004777_NCI-H1963,5.507099
PRT062607_SLVL,1.413627
Dasatinib_NCI-H64,3.921512
GSK591_KU812,2.635982
SCH772984_AU565,2.881952
NVP-ADW742_PFSK-1,0.734744
VE-822_SCC-4,3.558275
Cytarabine_HCC1806,-0.541077
Ibrutinib_NB69,3.119728
Linsitinib_OCI-AML3,2.797062
Bortezomib_NCI-H69,-5.587199
BIBR-1532_T47D,4.537449
Alisertib_EKVX,3.210739
MK-8776_TK10,5.209317
Temozolomide_VCaP,6.382719
BMS-345541_MDA-MB-415,4.935507
Alisertib_KM12,4.337541
LJI308_DEL,4.285224
LJI308_Raji,4.04454
AZD3759_OCUM-1,3.748546
VE821_CAPAN-1,5.758043
Pictilisib_SU-DHL-8,3.671646
AZD4547_PANC-08-13,3.406867
GSK591_PF-382,4.918413
Palbociclib_MFM-223,3.793445
Sabutoclax_OVCAR-4,-0.286544
Ipatasertib_SW13,3.423435
GNE-317_YAPC,1.00999
Ipatasertib_BT-549,2.899598
Afatinib_HL-60,1.82684
5-Fluorouracil_NUGC-3,4.273837
Telomerase Inhibitor IX_MKN45,0.009551
LGK974_RS4-11,3.035602
Afuresertib_EFO-21,4.000663
Taselisib_PL4,1.722536
Entinostat_A704,2.662876
Irinotecan_KE-37,0.043545
Navitoclax_NCI-H2722,3.663677
Sabutoclax_NCI-H211,-0.985948
IWP-2_NCI-H2405,5.751728
Dasatinib_NCI-H2818,0.513619
MG-132_MCF7,-1.626807
Camptothecin_MPP-89,-1.778965
Nilotinib_NCI-H727,3.130195
AGI-6780_OS-RC-2,6.113685
EPZ5676_MDA-MB-436,6.182343
Gefitinib_BC-1,2.886953
Telomerase Inhibitor IX_NCI-H2452,1.448606
GSK1904529A_UACC-257,5.255609
GSK2578215A_OV-90,5.619753
AZD8186_KY821,1.751015
AZD3759_P32-ISH,1.884598
Nilotinib_JVM-3,0.750555
PCI-34051_NUGC-3,4.673883
P22077_CHSA8926,3.980291
Paclitaxel_SW626,0.606987
Osimertinib_MDA-MB-436,2.375039
AGI-5198_SW1088,4.458931
Pictilisib_SK-N-FI,1.88609
GSK2606414_NCI-H2803,3.611164
VX-11e_CAPAN-1,1.302152
Ipatasertib_MIA-PaCa-2,4.678917
Ipatasertib_Ramos-2G6-4C10,2.728478
LCL161_Calu-6,5.581913
PD0325901_NCI-H446,1.224331
Dinaciclib_NCI-H1650,0.0842
Nutlin-3a (-)_NAMALWA,4.419791
Venetoclax_LNCaP-Clone-FGC,2.222713
Ibrutinib_JVM-2,1.549121
AZD3759_SUIT-2,4.246568
Vorinostat_MOLM-13,-0.926112
AZD3759_HTC-C3,2.937908
AZD3759_BT-20,2.249438
CZC24832_SCC-15,5.533561
AZD8186_K-562,5.222154
AZD6738_CAL-51,0.172217
Picolinici-acid_HuO-3N1,5.328595
VE-822_BPH-1,3.227189
Cediranib_COLO-792,1.6831
Oxaliplatin_CCK-81,1.042177
Dabrafenib_SLVL,4.339842
AZD4547_HSC-2,2.027485
Temozolomide_DU-4475,5.286314
ABT737_NCI-H2722,2.205029
I-BET-762_PC-3,5.957923
Gefitinib_MFE-280,4.686354
GSK343_NCI-H1435,2.447083
Cisplatin_EPLC-272H,2.502636
Dasatinib_RPMI-8226,1.416853
Docetaxel_OVCA420,-0.639539
Pevonedistat_EBC-1,-1.427155
Doramapimod_BT-483,3.286426
Irinotecan_NCI-H520,3.323519
EPZ5676_NCI-H2722,7.705932
Obatoclax Mesylate_A4-Fuk,-0.725334
PRIMA-1MET_GAMG,2.892116
Osimertinib_IM-95,1.241947
5-Fluorouracil_SKM-1,1.489258
Picolinici-acid_SW780,4.524518
5-Fluorouracil_KP-1N,4.570796
Dasatinib_KY821,2.678183
AZD8186_TGBC11TKB,4.713148
Obatoclax Mesylate_KELLY,-0.097877
GSK1904529A_SNU-182,5.540507
Gefitinib_SK-MEL-24,3.887301
PRT062607_H9,2.051711
Pevonedistat_BV-173,-2.13859
Afuresertib_SW684,3.172379
Sapitinib_YH-13,3.819494
I-BET-762_HCC1428,4.597876
Bortezomib_TT2609-C02,-2.266775
Niraparib_NCI-H211,3.563085
Navitoclax_CAL-29,1.714389
Leflunomide_OCUB-M,5.074649
BMS-345541_BT-20,3.052268
PFI3_WM793B,5.298518
ABT737_SW1783,1.587005
OTX015_WSU-NHL,-1.766293
Entinostat_SW1116,3.170197
LJI308_EW-24,2.952937
Pictilisib_HuP-T4,2.373015
GSK2578215A_HCC2157,3.448579
Cyclophosphamide_NCI-H1944,5.992867
MIRA-1_BE2-M17,5.742516
Erlotinib_LoVo,0.847206
CZC24832_HOS,4.461031
Savolitinib_BL-41,0.682102
Daporinad_CAL-85-1,-4.596658
Alisertib_697,-3.416395
WEHI-539_KELLY,2.878478
Crizotinib_LN-405,5.012513
IWP-2_LOU-NH91,3.062647
Sapitinib_SK-MEL-1,6.439037
LCL161_LC4-1,4.613224
Docetaxel_HCC202,-2.044859
I-BET-762_KU-19-19,1.293284
BMS-345541_EGI-1,4.077129
Dasatinib_SNU-5,4.031881
Afuresertib_G-292-Clone-A141B1,3.469947
Vinorelbine_LB996-RCC,-2.744947
PD0325901_SJRH30,0.987479
Osimertinib_SF268,3.134821
Crizotinib_IGROV-1,2.415364
AZ960_RCC10RGB,5.158604
GSK1904529A_NCI-H841,4.638411
Entinostat_MEL-JUSO,2.142938
Pevonedistat_NCI-H2373,-0.777122
PD0325901_RH-41,1.288466
Savolitinib_SW1463,3.368004
PRIMA-1MET_AU565,3.041958
Sorafenib_BC-1,1.485589
Sorafenib_TE-8,3.368884
EPZ004777_TE-15,4.971369
LCL161_WIL2-NS,4.632933
BMS-345541_HAL-01,2.25193
YK-4-279_A253,3.964022
Epirubicin_LB996-RCC,-2.266594
I-BRD9_EBC-1,3.647505
Paclitaxel_CCRF-CEM,-4.962127
PRIMA-1MET_DBTRG-05MG,8.410275
AZD3759_A2780,3.246819
CZC24832_KG-1,4.840723
Uprosertib_SK-MES-1,4.668411
Dinaciclib_SUP-T1,-3.04667
Picolinici-acid_ARH-77,4.293189
Cisplatin_U-2-OS,6.78235
Tamoxifen_NCI-H810,2.859118
AMG-319_U-698-M,3.242141
ML323_HA7-RCC,4.988509
PD173074_T47D,3.632196
VE821_EC-GI-10,3.853203
Docetaxel_CS1,-4.780841
LY2109761_SNU-81,4.742219
Uprosertib_NB14,3.574508
Dinaciclib_JURL-MK1,-3.652967
SCH772984_KMS-12-BM,3.28855
Cytarabine_8505C,4.737497
ABT737_HCC1419,3.26493
GSK2606414_KMOE-2,4.010885
Sapitinib_A2780,2.502607
PLX-4720_DBTRG-05MG,3.192421
Olaparib_LC4-1,2.472982
Wnt-C59_A253,4.331307
AGI-5198_SNU-449,4.695387
AZD8186_NCI-H196,3.190526
AGI-6780_EW-7,3.811896
ABT737_NCI-H2023,3.010197
Leflunomide_D-263MG,5.256309
PD173074_SUP-HD1,2.677654
Paclitaxel_U251,-0.661237
Telomerase Inhibitor IX_SU8686,2.506691
5-Fluorouracil_OE33,2.924891
Docetaxel_CCRF-CEM,-5.626562
Afatinib_BL-41,1.00905
ABT737_OVTOKO,4.172967
Foretinib_NCI-H2228,0.114865
Cyclophosphamide_MFH-ino,5.970962
Wee1 Inhibitor_NCI-H1963,1.65645
IWP-2_PWR-1E,2.894742
AMG-319_A704,3.165919
AZD5582_NCI-H2052,6.343806
GDC0810_BT-483,7.430684
NVP-ADW742_HT-3,5.530584
Savolitinib_KP-N-YN,2.760429
AMG-319_42-MG-BA,5.247738
Telomerase Inhibitor IX_OVCAR-4,1.688968
WEHI-539_KATOIII,4.941431
Ipatasertib_GDM-1,2.341355
Alisertib_GRANTA-519,1.982609
GSK2606414_LS-180,5.525125
Leflunomide_Jurkat,3.015356
Olaparib_NCI-H1341,2.438
Erlotinib_COLO-792,3.231178
PCI-34051_DEL,1.915512
GSK2578215A_RCC-JW,5.266724
I-BRD9_NUGC-3,5.351821
Navitoclax_CS1,1.710653
Irinotecan_CTV-1,-0.104911
AZD7762_P30-OHK,-0.986794
OTX015_EW-3,1.034365
Irinotecan_RPMI-8226,1.454489
Dabrafenib_CAL-33,5.490545
Obatoclax Mesylate_NCI-H929,0.392038
Afuresertib_COR-L32,0.811892
Fulvestrant_Hs-766T,4.21049
Daporinad_SCC-4,-4.482084
PFI3_KELLY,4.5445
PRIMA-1MET_SK-LMS-1,1.842551
AZD3759_A549,1.785137
Dasatinib_LN-229,3.649174
GSK2578215A_NCI-H1693,6.440029
Bortezomib_ES-2,-4.933839
Cytarabine_WM35,0.031975
PD173074_SNU-182,5.170563
Irinotecan_CCK-81,2.743595
Afatinib_B-CPAP,2.009187
Uprosertib_PCI-4B,1.413921
Cisplatin_NCI-H596,3.526648
AGI-6780_8505C,3.975091
AZD5582_HGC-27,1.525539
UMI-77_GOTO,3.04821
